cetnost,jmeno,vocativ,sex,id,jmeno_ascii
1053,Šarlota,Šarloto,F,248,sarlota
1032,Galina,Galino,F,249,galina
1020,Marianna,Marianno,F,250,marianna
1019,Dobroslava,Dobroslavo,F,251,dobroslava
985,Viola,Violo,F,252,viola
976,Svetlana,Svetlano,F,253,svetlana
956,Ľudmila,Ľudmilo,F,254,ludmila
948,Mirka,Mirko,F,255,mirka
945,Darja,Darjo,F,256,darja
941,Galyna,Galyno,F,257,galyna
941,Hilda,Hildo,F,258,hilda
935,Sarah,Sarah,F,259,sarah
919,Karina,Karino,F,260,karina
915,Valentyna,Valentyno,F,261,valentyna
909,Maryna,Maryno,F,262,maryna
907,Ida,Ido,F,263,ida
906,Berta,Berto,F,264,berta
900,Elen,Elen,F,265,elen
899,Júlia,Júlio,F,266,j'ulia
898,Anastázie,Anastázie,F,267,anast'azie
889,Zdislava,Zdislavo,F,268,zdislava
876,Cecilie,Cecilie,F,269,cecilie
869,Hermína,Hermíno,F,270,herm'ina
866,Eleonora,Eleonoro,F,271,eleonora
863,Angelika,Angeliko,F,272,angelika
859,Věroslava,Věroslavo,F,273,veroslava
850,Emilia,Emilio,F,274,emilia
840,Emílie,Emílie,F,275,em'ilie
838,Marina,Marino,F,276,marina
828,Juliana,Juliano,F,277,juliana
803,Liliana,Liliano,F,278,liliana
794,Alla,Allo,F,279,alla
789,Gizela,Gizelo,F,280,gizela
785,Terézia,Terézio,F,281,ter'ezia
782,Anastazie,Anastazie,F,282,anastazie
773,Jiřinka,Jiřinko,F,283,jirinka
764,Viktoriya,Viktoriyo,F,284,viktoriya
763,Taťjana,Taťjano,F,285,tatjana
762,Albína,Albíno,F,286,alb'ina
753,Ingeborg,Ingeborg,F,287,ingeborg
738,Taťana,Taťano,F,288,tatana
730,Krystyna,Krystyno,F,289,krystyna
723,Danuta,Danuto,F,290,danuta
719,Yvetta,Yvetto,F,291,yvetta
713,Ľubica,Ľubico,F,292,lubica
712,Ganna,Ganno,F,293,ganna
707,Izabela,Izabelo,F,294,izabela
691,Nella,Nello,F,295,nella
677,Jelena,Jeleno,F,296,jelena
670,Štefánia,Štefánio,F,297,stef'ania
668,Jozefa,Jozefo,F,298,jozefa
663,Vilemína,Vilemíno,F,299,vilem'ina
660,Vojtěška,Vojtěško,F,300,vojteska
658,Bohumíra,Bohumíro,F,301,bohum'ira
657,Angela,Angelo,F,302,angela
657,Rita,Rito,F,303,rita
654,Inna,Inno,F,304,inna
653,Slávka,Slávko,F,305,sl'avka
652,Verona,Verono,F,306,verona
651,Rozália,Rozálio,F,307,roz'alia
650,Terezia,Terezio,F,308,terezia
641,Julia,Julio,F,309,julia
635,Erna,Erno,F,310,erna
628,Yuliya,Yuliyo,F,311,yuliya
620,Liběna,Liběno,F,312,libena
614,Ella,Ello,F,313,ella
611,Vira,Viro,F,314,vira
608,Janina,Janino,F,315,janina
607,Jessica,Jessico,F,316,jessica
601,Světla,Světlo,F,317,svetla
596,Lubomíra,Lubomíro,F,318,lubom'ira
595,Milana,Milano,F,319,milana
591,Larysa,Laryso,F,320,larysa
590,Ružena,Ruženo,F,321,ruzena
587,Agnesa,Agneso,F,322,agnesa
585,Valeria,Valerio,F,323,valeria
583,Ellen,Ellen,F,324,ellen
582,Daria,Dario,F,325,daria
582,Justýna,Justýno,F,326,just'yna
579,Vladěna,Vladěno,F,327,vladena
568,Matylda,Matyldo,F,328,matylda
568,Svatoslava,Svatoslavo,F,329,svatoslava
564,Katrin,Katrin,F,330,katrin
563,Herta,Herto,F,331,herta
559,Margareta,Margareto,F,332,margareta
552,Oleksandra,Oleksandro,F,333,oleksandra
549,Melanie,Melanie,F,334,melanie
548,Margit,Margit,F,335,margit
547,Josefína,Josefíno,F,336,josef'ina
547,Kateryna,Kateryno,F,337,kateryna
545,Alina,Alino,F,338,alina
540,Lýdia,Lýdio,F,339,l'ydia
538,Nataliia,Nataliio,F,340,nataliia
535,Marketa,Marketo,F,341,marketa
532,Justina,Justino,F,342,justina
530,Zina,Zino,F,343,zina
528,Larisa,Lariso,F,344,larisa
521,Adela,Adelo,F,345,adela
512,Huong,Huong,F,346,huong
505,Slavomíra,Slavomíro,F,347,slavom'ira
504,Sonja,Sonjo,F,348,sonja
503,Tetiana,Tetiano,F,349,tetiana
502,Ekaterina,Ekaterino,F,350,ekaterina
500,Vasylyna,Vasylyno,F,351,vasylyna
498,Nelly,Nelly,F,352,nelly
497,Daša,Dašo,F,353,dasa
496,Radomila,Radomilo,F,354,radomila
489,Myroslava,Myroslavo,F,355,myroslava
486,Valéria,Valério,F,356,val'eria
485,Katarina,Katarino,F,357,katarina
479,Světluše,Světluše,F,358,svetluse
474,Sofia,Sofio,F,359,sofia
471,Nora,Noro,F,360,nora
468,Anastasia,Anastasio,F,361,anastasia
465,Vladana,Vladano,F,362,vladana
464,Amalie,Amalie,F,363,amalie
464,Bohunka,Bohunko,F,364,bohunka
463,Berenika,Bereniko,F,365,berenika
463,Eugenie,Eugenie,F,366,eugenie
459,Teresa,Tereso,F,367,teresa
456,Arnoštka,Arnoštko,F,368,arnostka
456,Etela,Etelo,F,369,etela
454,Lýdie,Lýdie,F,370,l'ydie
452,Leontýna,Leontýno,F,371,leont'yna
452,Liana,Liano,F,372,liana
451,Anh,Anh,F,373,anh
451,Natália,Natálio,F,374,nat'alia
445,Stella,Stello,F,375,stella
444,Zlatica,Zlatico,F,376,zlatica
440,Mariia,Mariio,F,377,mariia
440,Victoria,Victorio,F,378,victoria
437,Maryana,Maryano,F,379,maryana
434,Liudmila,Liudmilo,F,380,liudmila
430,Johanka,Johanko,F,381,johanka
424,Zoja,Zojo,F,382,zoja
422,Ljuba,Ljubo,F,383,ljuba
420,Kvetoslava,Kvetoslavo,F,384,kvetoslava
419,Tina,Tino,F,385,tina
415,Stela,Stelo,F,386,stela
412,Ruth,Ruth,F,387,ruth
410,Thuy,Thuy,F,388,thuy
408,Jozefína,Jozefíno,F,389,jozef'ina
405,Ivanna,Ivanno,F,390,ivanna
404,Vlastislava,Vlastislavo,F,391,vlastislava
401,Aranka,Aranko,F,392,aranka
400,Uršula,Uršulo,F,393,ursula
398,Zlatuška,Zlatuško,F,394,zlatuska
391,Lesya,Lesyo,F,395,lesya
390,Luďka,Luďko,F,396,ludka
390,Vratislava,Vratislavo,F,397,vratislava
384,Danka,Danko,F,398,danka
383,Lidia,Lidio,F,399,lidia
383,Xenie,Xenie,F,400,xenie
381,Oxana,Oxano,F,401,oxana
380,Marija,Marijo,F,402,marija
376,Elizabeth,Elizabeth,F,403,elizabeth
371,Ela,Elo,F,404,ela
370,Viktoria,Viktorio,F,405,viktoria
367,Natalya,Natalyo,F,406,natalya
366,Noemi,Noemi,F,407,noemi
363,Ana,Ano,F,408,ana
357,Lidiya,Lidiyo,F,409,lidiya
353,Jitřenka,Jitřenko,F,410,jitrenka
350,Doris,Doris,F,411,doris
349,Amélie,Amélie,F,412,am'elie
349,Antonia,Antonio,F,413,antonia
343,Phuong,Phuong,F,414,phuong
343,Zofia,Zofio,F,415,zofia
342,Ilonka,Ilonko,F,416,ilonka
342,Pavlina,Pavlino,F,417,pavlina
341,Annemarie,Annemarie,F,418,annemarie
340,Aurelie,Aurelie,F,419,aurelie
337,Dora,Doro,F,420,dora
335,Apolena,Apoleno,F,421,apolena
333,Natalija,Natalijo,F,422,natalija
329,Ha,Hao,F,423,ha
325,Anastasiya,Anastasiyo,F,424,anastasiya
325,Filomena,Filomeno,F,425,filomena
325,Liubov,Liubov,F,426,liubov
324,Isabela,Isabelo,F,427,isabela
323,Lena,Leno,F,428,lena
323,Trang,Trang,F,429,trang
322,Gerda,Gerdo,F,430,gerda
322,Inka,Inko,F,431,inka
322,Ruslana,Ruslano,F,432,ruslana
322,Sabrina,Sabrino,F,433,sabrina
320,Jennifer,Jennifer,F,434,jennifer
320,Liduška,Liduško,F,435,liduska
320,Rosalie,Rosalie,F,436,rosalie
317,Liliya,Liliyo,F,437,liliya
316,Wanda,Wando,F,438,wanda
314,Evelína,Evelíno,F,439,evel'ina
314,Katka,Katko,F,440,katka
